classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
341830244,Zofia,248953.0,18563,T0,2021-06-19 16:48:10 UTC,62834017,question_extractor,1.0,3.6.0,
341830263,Zofia,248953.0,18563,T0,2021-06-19 16:48:18 UTC,62832998,question_extractor,1.0,3.6.0,
341830280,Zofia,248953.0,18563,T0,2021-06-19 16:48:25 UTC,62832926,question_extractor,1.0,3.6.0,
341830294,Zofia,248953.0,18563,T0,2021-06-19 16:48:31 UTC,62835833,question_extractor,,3.6.0,1.0
341830342,Zofia,248953.0,18563,T0,2021-06-19 16:48:52 UTC,62835269,question_extractor,,3.6.0,1.0
341830407,Zofia,248953.0,18563,T0,2021-06-19 16:49:14 UTC,62835309,question_extractor,1.0,3.6.0,
341830439,Zofia,248953.0,18563,T0,2021-06-19 16:49:28 UTC,62833482,question_extractor,1.0,3.6.0,
341830454,Zofia,248953.0,18563,T0,2021-06-19 16:49:36 UTC,62832889,question_extractor,1.0,3.6.0,
341830488,Zofia,248953.0,18563,T0,2021-06-19 16:49:52 UTC,62835313,question_extractor,1.0,3.6.0,
341830508,Zofia,248953.0,18563,T0,2021-06-19 16:49:59 UTC,62832743,question_extractor,1.0,3.6.0,
341830521,Zofia,248953.0,18563,T0,2021-06-19 16:50:06 UTC,62835515,question_extractor,1.0,3.6.0,
341830541,Zofia,248953.0,18563,T0,2021-06-19 16:50:15 UTC,62835247,question_extractor,1.0,3.6.0,
341830562,Zofia,248953.0,18563,T0,2021-06-19 16:50:25 UTC,62835296,question_extractor,1.0,3.6.0,
341830582,Zofia,248953.0,18563,T0,2021-06-19 16:50:34 UTC,62833345,question_extractor,1.0,3.6.0,
341830617,Zofia,248953.0,18563,T0,2021-06-19 16:50:46 UTC,62832714,question_extractor,1.0,3.6.0,
341830645,Zofia,248953.0,18563,T0,2021-06-19 16:50:55 UTC,62833059,question_extractor,1.0,3.6.0,
341830688,Zofia,248953.0,18563,T0,2021-06-19 16:51:07 UTC,62835101,question_extractor,1.0,3.6.0,
341830758,Zofia,248953.0,18563,T0,2021-06-19 16:51:32 UTC,62833564,question_extractor,,3.6.0,1.0
341830789,Zofia,248953.0,18563,T0,2021-06-19 16:51:40 UTC,62835020,question_extractor,1.0,3.6.0,
341830813,Zofia,248953.0,18563,T0,2021-06-19 16:51:47 UTC,62833480,question_extractor,,3.6.0,1.0
341830849,Zofia,248953.0,18563,T0,2021-06-19 16:51:57 UTC,62835669,question_extractor,1.0,3.6.0,
341830894,Zofia,248953.0,18563,T0,2021-06-19 16:52:09 UTC,62833415,question_extractor,1.0,3.6.0,
341830924,Zofia,248953.0,18563,T0,2021-06-19 16:52:17 UTC,62834043,question_extractor,1.0,3.6.0,
341830962,Zofia,248953.0,18563,T0,2021-06-19 16:52:30 UTC,62835689,question_extractor,1.0,3.6.0,
341830991,Zofia,248953.0,18563,T0,2021-06-19 16:52:41 UTC,62833780,question_extractor,1.0,3.6.0,
341831011,Zofia,248953.0,18563,T0,2021-06-19 16:52:49 UTC,62832733,question_extractor,1.0,3.6.0,
341831057,Zofia,248953.0,18563,T0,2021-06-19 16:53:08 UTC,62833477,question_extractor,1.0,3.6.0,
341831102,Zofia,248953.0,18563,T0,2021-06-19 16:53:32 UTC,62833456,question_extractor,1.0,3.6.0,
341831119,Zofia,248953.0,18563,T0,2021-06-19 16:53:38 UTC,62833237,question_extractor,1.0,3.6.0,
341831143,Zofia,248953.0,18563,T0,2021-06-19 16:53:50 UTC,62835681,question_extractor,1.0,3.6.0,
341831166,Zofia,248953.0,18563,T0,2021-06-19 16:54:01 UTC,62833299,question_extractor,,3.6.0,1.0
341831187,Zofia,248953.0,18563,T0,2021-06-19 16:54:11 UTC,62833704,question_extractor,,3.6.0,1.0
341831208,Zofia,248953.0,18563,T0,2021-06-19 16:54:23 UTC,62833617,question_extractor,,3.6.0,1.0
341831232,Zofia,248953.0,18563,T0,2021-06-19 16:54:34 UTC,62835779,question_extractor,,3.6.0,1.0
341831264,Zofia,248953.0,18563,T0,2021-06-19 16:54:48 UTC,62835861,question_extractor,1.0,3.6.0,
341831287,Zofia,248953.0,18563,T0,2021-06-19 16:54:56 UTC,62832731,question_extractor,1.0,3.6.0,
341831322,Zofia,248953.0,18563,T0,2021-06-19 16:55:16 UTC,62833734,question_extractor,,3.6.0,1.0
341831350,Zofia,248953.0,18563,T0,2021-06-19 16:55:29 UTC,62833515,question_extractor,1.0,3.6.0,
341831368,Zofia,248953.0,18563,T0,2021-06-19 16:55:38 UTC,62832896,question_extractor,1.0,3.6.0,
341831387,Zofia,248953.0,18563,T0,2021-06-19 16:55:47 UTC,62835586,question_extractor,,3.6.0,1.0
341831409,Zofia,248953.0,18563,T0,2021-06-19 16:55:57 UTC,62835790,question_extractor,,3.6.0,1.0
341831427,Zofia,248953.0,18563,T0,2021-06-19 16:56:03 UTC,62832808,question_extractor,1.0,3.6.0,
341831444,Zofia,248953.0,18563,T0,2021-06-19 16:56:09 UTC,62832882,question_extractor,1.0,3.6.0,
